passo,t,i,j,k,x,y,z,u
0,0,0,0,0,0.00000,0.00000,0.00000,0
0,0,0,0,2,0.00000,0.00000,0.03175,0
0,0,0,0,4,0.00000,0.00000,0.06349,0
0,0,0,0,6,0.00000,0.00000,0.09524,0
0,0,0,0,8,0.00000,0.00000,0.12698,0
0,0,0,0,10,0.00000,0.00000,0.15873,0
0,0,0,0,12,0.00000,0.00000,0.19048,0
0,0,0,0,14,0.00000,0.00000,0.22222,0
0,0,0,0,16,0.00000,0.00000,0.25397,0
0,0,0,0,18,0.00000,0.00000,0.28571,0
0,0,0,0,20,0.00000,0.00000,0.31746,0
0,0,0,0,22,0.00000,0.00000,0.34921,0
0,0,0,0,24,0.00000,0.00000,0.38095,0
0,0,0,0,26,0.00000,0.00000,0.41270,0
0,0,0,0,28,0.00000,0.00000,0.44444,0
0,0,0,0,30,0.00000,0.00000,0.47619,0
0,0,0,0,32,0.00000,0.00000,0.50794,0
0,0,0,0,34,0.00000,0.00000,0.53968,0
0,0,0,0,36,0.00000,0.00000,0.57143,0
0,0,0,0,38,0.00000,0.00000,0.60317,0
0,0,0,0,40,0.00000,0.00000,0.63492,0
0,0,0,0,42,0.00000,0.00000,0.66667,0
0,0,0,0,44,0.00000,0.00000,0.69841,0
0,0,0,0,46,0.00000,0.00000,0.73016,0
0,0,0,0,48,0.00000,0.00000,0.76190,0
0,0,0,0,50,0.00000,0.00000,0.79365,0
0,0,0,0,52,0.00000,0.00000,0.82540,0
0,0,0,0,54,0.00000,0.00000,0.85714,0
0,0,0,0,56,0.00000,0.00000,0.88889,0
0,0,0,0,58,0.00000,0.00000,0.92063,0
0,0,0,0,60,0.00000,0.00000,0.95238,0
0,0,0,0,62,0.00000,0.00000,0.98413,0
0,0,0,2,0,0.00000,0.03175,0.00000,0
0,0,0,2,2,0.00000,0.03175,0.03175,0
0,0,0,2,4,0.00000,0.03175,0.06349,0
0,0,0,2,6,0.00000,0.03175,0.09524,0
0,0,0,2,8,0.00000,0.03175,0.12698,0
0,0,0,2,10,0.00000,0.03175,0.15873,0
0,0,0,2,12,0.00000,0.03175,0.19048,0
0,0,0,2,14,0.00000,0.03175,0.22222,0
0,0,0,2,16,0.00000,0.03175,0.25397,0
0,0,0,2,18,0.00000,0.03175,0.28571,0
0,0,0,2,20,0.00000,0.03175,0.31746,0
0,0,0,2,22,0.00000,0.03175,0.34921,0
0,0,0,2,24,0.00000,0.03175,0.38095,0
0,0,0,2,26,0.00000,0.03175,0.41270,0
0,0,0,2,28,0.00000,0.03175,0.44444,0
0,0,0,2,30,0.00000,0.03175,0.47619,0
0,0,0,2,32,0.00000,0.03175,0.50794,0
0,0,0,2,34,0.00000,0.03175,0.53968,0
0,0,0,2,36,0.00000,0.03175,0.57143,0
0,0,0,2,38,0.00000,0.03175,0.60317,0
0,0,0,2,40,0.00000,0.03175,0.63492,0
0,0,0,2,42,0.00000,0.03175,0.66667,0
0,0,0,2,44,0.00000,0.03175,0.69841,0
0,0,0,2,46,0.00000,0.03175,0.73016,0
0,0,0,2,48,0.00000,0.03175,0.76190,0
0,0,0,2,50,0.00000,0.03175,0.79365,0
0,0,0,2,52,0.00000,0.03175,0.82540,0
0,0,0,2,54,0.00000,0.03175,0.85714,0
0,0,0,2,56,0.00000,0.03175,0.88889,0
0,0,0,2,58,0.00000,0.03175,0.92063,0
0,0,0,2,60,0.00000,0.03175,0.95238,0
0,0,0,2,62,0.00000,0.03175,0.98413,0
0,0,0,4,0,0.00000,0.06349,0.00000,0
0,0,0,4,2,0.00000,0.06349,0.03175,0
0,0,0,4,4,0.00000,0.06349,0.06349,0
0,0,0,4,6,0.00000,0.06349,0.09524,0
0,0,0,4,8,0.00000,0.06349,0.12698,0
0,0,0,4,10,0.00000,0.06349,0.15873,0
0,0,0,4,12,0.00000,0.06349,0.19048,0
0,0,0,4,14,0.00000,0.06349,0.22222,0
0,0,0,4,16,0.00000,0.06349,0.25397,0
0,0,0,4,18,0.00000,0.06349,0.28571,0
0,0,0,4,20,0.00000,0.06349,0.31746,0
0,0,0,4,22,0.00000,0.06349,0.34921,0
0,0,0,4,24,0.00000,0.06349,0.38095,0
0,0,0,4,26,0.00000,0.06349,0.41270,0
0,0,0,4,28,0.00000,0.06349,0.44444,0
0,0,0,4,30,0.00000,0.06349,0.47619,0
0,0,0,4,32,0.00000,0.06349,0.50794,0
0,0,0,4,34,0.00000,0.06349,0.53968,0
0,0,0,4,36,0.00000,0.06349,0.57143,0
0,0,0,4,38,0.00000,0.06349,0.60317,0
0,0,0,4,40,0.00000,0.06349,0.63492,0
0,0,0,4,42,0.00000,0.06349,0.66667,0
0,0,0,4,44,0.00000,0.06349,0.69841,0
0,0,0,4,46,0.00000,0.06349,0.73016,0
0,0,0,4,48,0.00000,0.06349,0.76190,0
0,0,0,4,50,0.00000,0.06349,0.79365,0
0,0,0,4,52,0.00000,0.06349,0.82540,0
0,0,0,4,54,0.00000,0.06349,0.85714,0
0,0,0,4,56,0.00000,0.06349,0.88889,0
0,0,0,4,58,0.00000,0.06349,0.92063,0
0,0,0,4,60,0.00000,0.06349,0.95238,0
0,0,0,4,62,0.00000,0.06349,0.98413,0
0,0,0,6,0,0.00000,0.09524,0.00000,0
0,0,0,6,2,0.00000,0.09524,0.03175,0
0,0,0,6,4,0.00000,0.09524,0.06349,0
0,0,0,6,6,0.00000,0.09524,0.09524,0
0,0,0,6,8,0.00000,0.09524,0.12698,0
0,0,0,6,10,0.00000,0.09524,0.15873,0
0,0,0,6,12,0.00000,0.09524,0.19048,0
0,0,0,6,14,0.00000,0.09524,0.22222,0
0,0,0,6,16,0.00000,0.09524,0.25397,0
0,0,0,6,18,0.00000,0.09524,0.28571,0
0,0,0,6,20,0.00000,0.09524,0.31746,0
