| Tamanho_Bytes   |  Tempo_Medio_Msg_s    |    Largura_Banda_MBs  | 
|   8 |    1.635494e-06|   4.664887   |
|   16 |    1.636741e-06|   9.322663   |
|   32 |    1.814415e-06|   16.819514   |
|   64 |    1.956538e-06|   31.195495   |
|   128 |    1.977391e-06|   61.733002   |
|   256 |    3.152546e-06|   77.442379   |
|   512 |    2.633074e-06|   185.441487   |
|   1024 |    3.037870e-06|   321.462900   |
|   2048 |    3.579604e-06|   545.626073   |
|   4096 |    4.784237e-06|   816.483295   |
|   8192 |    6.555918e-06|   1191.671494   |
|   16384 |    9.106862e-06|   1715.739092   |
|   32768 |    1.410406e-05|   2215.673283   |
|   65536 |    2.251223e-05|   2776.268783   |
|   131072 |    3.841687e-05|   3253.779001   |
|   262144 |    5.762678e-05|   4338.261089   |
|   524288 |    5.742137e-05|   8707.558890   |
|   1048576 |    9.472331e-05|   10557.063793   |
|   2097152 |    1.821735e-04|   10978.543069   |
|   4194304 |    3.532769e-04|   11322.562401   |
|   8388608 |    6.980299e-04|   11460.826385   |
