nprocs,M,N,reps,tempo_medio_s
1,512,512,30,0.000348034
2,512,512,30,0.000301912
4,512,512,30,0.000196084
8,512,512,30,0.000144912
16,512,512,30,0.000140234
32,512,512,30,0.000183668
1,1024,1024,30,0.001356880
2,1024,1024,30,0.000932088
4,1024,1024,30,0.000791086
8,1024,1024,30,0.000802781
16,1024,1024,30,0.000343208
32,1024,1024,30,0.000298183
1,2048,2048,30,0.006018828
2,2048,2048,30,0.004066439
4,2048,2048,30,0.002708305
8,2048,2048,30,0.002654833
16,2048,2048,30,0.000906723
32,2048,2048,30,0.000818427
1,4096,4096,30,0.028260827
2,4096,4096,30,0.018992681
4,4096,4096,30,0.012481476
8,4096,4096,30,0.010659952
16,4096,4096,30,0.002943924
32,4096,4096,30,0.002190432
1,8192,8192,30,0.113708585
2,8192,8192,30,0.078263721
4,8192,8192,30,0.059852758
8,8192,8192,30,0.054659096
16,8192,8192,30,0.022300169
32,8192,8192,30,0.018214053
