N,Linhas (s),Colunas (s),Razao (Col/Lin)
32,0.000003,0.000002,0.60
64,0.000008,0.000009,1.13
96,0.000018,0.000016,0.89
128,0.000033,0.000031,0.94
160,0.000052,0.000049,0.95
192,0.000077,0.000082,1.06
224,0.000102,0.000094,0.91
256,0.000134,0.000141,1.05
288,0.000209,0.000239,1.14
320,0.000242,0.000203,0.84
352,0.000256,0.000251,0.98
384,0.000310,0.000297,0.96
416,0.000359,0.000350,0.97
448,0.000405,0.000385,0.95
480,0.000445,0.000489,1.10
512,0.000512,0.000697,1.36
544,0.000572,0.000593,1.04
576,0.000706,0.000664,0.94
608,0.000726,0.000740,1.02
640,0.000803,0.000795,0.99
672,0.000874,0.000864,0.99
704,0.000961,0.000952,0.99
736,0.001051,0.001066,1.01
768,0.001145,0.001662,1.45
800,0.001250,0.001248,1.00
832,0.002733,0.002467,0.90
864,0.001725,0.002386,1.38
896,0.001695,0.002315,1.37
928,0.001843,0.002118,1.15
960,0.001998,0.002543,1.27
992,0.002335,0.003133,1.34
1024,0.002312,0.006250,2.70
1056,0.002388,0.002889,1.21
1088,0.004753,0.006246,1.31
1120,0.002787,0.003955,1.42
1152,0.002794,0.003873,1.39
1184,0.003088,0.003836,1.24
1216,0.003147,0.003634,1.15
1248,0.003323,0.004389,1.32
1280,0.003473,0.006061,1.75
1312,0.003669,0.005451,1.49
1344,0.003820,0.005779,1.51
1376,0.004005,0.008231,2.06
1408,0.005088,0.008560,1.68
1440,0.004408,0.007434,1.69
1472,0.005168,0.006616,1.28
1504,0.004945,0.007843,1.59
1536,0.005555,0.010719,1.93
1568,0.005220,0.008350,1.60
1600,0.005047,0.008107,1.61
1632,0.005228,0.008240,1.58
1664,0.005442,0.011685,2.15
1696,0.005651,0.009204,1.63
1728,0.005777,0.012854,2.22
1760,0.006161,0.010632,1.73
1792,0.006532,0.013542,2.07
1824,0.006548,0.013345,2.04
1856,0.006456,0.011826,1.83
1888,0.007056,0.012448,1.76
1920,0.007206,0.016584,2.30
1952,0.007025,0.013067,1.86
1984,0.007191,0.014430,2.01
2016,0.008049,0.014493,1.80
2048,0.008339,0.020839,2.50
