N,Linhas (s),Colunas (s),Razao (Col/Lin)
32,0.000008,0.000010,1.21
64,0.000033,0.000038,1.17
96,0.000074,0.000086,1.16
128,0.000131,0.000135,1.03
160,0.000118,0.000134,1.14
192,0.000169,0.000192,1.14
224,0.000229,0.000261,1.14
256,0.000300,0.000365,1.22
288,0.000378,0.000429,1.14
320,0.000468,0.000528,1.13
352,0.000566,0.000637,1.13
384,0.000676,0.000759,1.12
416,0.000796,0.000894,1.12
448,0.000917,0.001053,1.15
480,0.001058,0.001283,1.21
512,0.001217,0.001853,1.52
544,0.001384,0.001851,1.34
576,0.001544,0.002049,1.33
608,0.001733,0.002119,1.22
640,0.001896,0.002369,1.25
672,0.002107,0.003034,1.44
704,0.002293,0.004009,1.75
736,0.002498,0.003648,1.46
768,0.002740,0.004167,1.52
800,0.002981,0.004460,1.50
832,0.003227,0.004841,1.50
864,0.003475,0.005253,1.51
896,0.003732,0.005605,1.50
928,0.004002,0.006150,1.54
960,0.004304,0.006512,1.51
992,0.004585,0.007124,1.55
1024,0.004886,0.021791,4.46
1056,0.005205,0.009302,1.79
1088,0.005548,0.010126,1.82
1120,0.005869,0.010746,1.83
1152,0.006208,0.012448,2.01
1184,0.006559,0.012533,1.91
1216,0.006881,0.013724,1.99
1248,0.007279,0.013678,1.88
1280,0.007683,0.018115,2.36
1312,0.008057,0.017305,2.15
1344,0.008462,0.017069,2.02
1376,0.008872,0.018877,2.13
1408,0.009281,0.017612,1.90
1440,0.009738,0.020401,2.09
1472,0.010108,0.020488,2.03
1504,0.010621,0.022740,2.14
1536,0.011023,0.053420,4.85
1568,0.011471,0.020863,1.82
1600,0.011875,0.019875,1.67
1632,0.012397,0.022488,1.81
1664,0.012957,0.021194,1.64
1696,0.013386,0.024324,1.82
1728,0.013956,0.024653,1.77
1760,0.014345,0.026644,1.86
1792,0.014960,0.047250,3.16
1824,0.015544,0.030208,1.94
1856,0.016052,0.029004,1.81
1888,0.016595,0.030782,1.85
1920,0.017165,0.030648,1.79
1952,0.017731,0.034515,1.95
1984,0.018333,0.033530,1.83
2016,0.018924,0.035172,1.86
2048,0.019531,0.107495,5.50
